ncppb_number,ncppb_number_compact,current_name,name_as_received,alternative_names,pathovar,host,country,other_collection_numbers,ncppb_catalogue_url,catalogue_sequence_links,sequencing_type,year_added,type_strain_of_species,pathotype_strain,other_references,notes,raw_record_text
NCPPB 4343,NCPPB4343,Xanthomonas bromi Vauterin et al. 1995,Xanthomonas bromi,,,Bromus fonkii Philippi (Chilean brome ),France,ICMP 12545; CFBP 1976; LMG 947,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4343,GenBank: EU498837 - dnaK EU498937 - fyuA EU499052 - gyrB EU499172 - rpoD HM181688 - dnaA HM181911 - genomic DNA <genbank:  EU498837 - dnaK  EU498937 - fyuA  EU499052 - gyrB  EU499172 - rpoD  HM181688 - dnaA  HM181911 - genomic DNA>,,2006,Yes,Yes,"The donor reference is 1601-1 This isolate is also in the collections; ICMP 12545, CFBP 1976,Samson 1601.1, LMG 947 This isolate was isolated by R.Sampson The source of this isolate was ICMP",Culture contains two stable colony types giving identical gelelectrophoretic protein profiles (SDS-PAGE),"NCPPB No. 4343: Catalogue name: Xanthomonas bromi Vauterin et al. 1995 Name as received: Xanthomonas bromi Country: France Host: Bromus fonkii Philippi (Chilean brome ) Year Added: 2006 Type strain of the species: Yes Pathotype strain: Yes Notes: Culture contains two stable colony types giving identical gelelectrophoretic protein profiles (SDS-PAGE) Other references: The donor reference is 1601-1 This isolate is also in the collections; ICMP 12545, CFBP 1976,Samson 1601.1, LMG 947 This isolate was isolated by R.Sampson The source of this isolate was ICMP Sequencing Link: GenBank: EU498837 - dnaK EU498937 - fyuA EU499052 - gyrB EU499172 - rpoD HM181688 - dnaA HM181911 - genomic DNA"
NCPPB 4344,NCPPB4344,Xanthomonas campestris pv. brunneivaginae (Luo et al. 1988)Young et al. 1996,Xanthomonas campestris pv. brunneivaginae,,pv. brunneivaginae,Oryza sativa,China,ICMP 9991,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4344,,,2006,No,Yes,The donor reference is 03-29991 This isolate is also in the collections; ICMP 9991 This isolate was isolated by K.Luo The source of this isolate was ICMP,"16s rRNA partial sequencing and Fatty Acid profiling suggests Sphingomonas sp. 16s rRNA sequencing suggests Sphingomonas sp. see Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Parkinson et al. Int.J.of Syst. and Evol. Microbiology (2009(, 59, 264-274.","NCPPB No. 4344: Catalogue name: Xanthomonas campestris pv. brunneivaginae (Luo et al. 1988)Young et al. 1996 Name as received: Xanthomonas campestris pv. brunneivaginae Country: China Host: Oryza sativa Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Notes: 16s rRNA partial sequencing and Fatty Acid profiling suggests Sphingomonas sp. 16s rRNA sequencing suggests Sphingomonas sp. see Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Parkinson et al. Int.J.of Syst. and Evol. Microbiology (2009(, 59, 264-274. Other references: The donor reference is 03-29991 This isolate is also in the collections; ICMP 9991 This isolate was isolated by K.Luo The source of this isolate was ICMP"
NCPPB 4345,NCPPB4345,Xanthomonas campestris pv. cannae Easwaramurthy et al. 1984,Xanthomonas campestris pv. cannae,,pv. cannae,Canna × generalis,India,ICMP 8306; LMG 9043,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4345,,,2006,Yes,Yes,The donor reference is 1 This isolate is also in the collections; ICMP 8306. LMG 9043 This isolate was isolated by R. Easwaramurthy The source of this isolate was ICMP,Leaf spot Blight,NCPPB No. 4345: Catalogue name: Xanthomonas campestris pv. cannae Easwaramurthy et al. 1984 Name as received: Xanthomonas campestris pv. cannae Country: India Host: Canna × generalis Year Added: 2006 Type strain of the species: Yes Pathotype strain: Yes Notes: Leaf spot Blight Other references: The donor reference is 1 This isolate is also in the collections; ICMP 8306. LMG 9043 This isolate was isolated by R. Easwaramurthy The source of this isolate was ICMP
NCPPB 4346,NCPPB4346,Xanthomonas campestris pv. leersiae (ex Fang et al. 1957) Young et al. 1991,Xanthomonas campestris pv. leersiae,,pv. leersiae,Leersia hexandra Swartz (southern cutgrass),China,ICMP 8788,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4346,,,2006,Yes,Yes,The donor reference is G2 This isolate is also in the collections; ICMP 8788 This isolate was isolated by Z. Fang The source of this isolate was ICMP,"Causes leaf streak. Possibly a Xanthomonas oryzae (Parkinson 2009, Triplett 2011, Lang et al. 2019).","NCPPB No. 4346: Catalogue name: Xanthomonas campestris pv. leersiae (ex Fang et al. 1957) Young et al. 1991 Name as received: Xanthomonas campestris pv. leersiae Country: China Host: Leersia hexandra Swartz (southern cutgrass) Year Added: 2006 Type strain of the species: Yes Pathotype strain: Yes Notes: Causes leaf streak. Possibly a Xanthomonas oryzae (Parkinson 2009, Triplett 2011, Lang et al. 2019). Other references: The donor reference is G2 This isolate is also in the collections; ICMP 8788 This isolate was isolated by Z. Fang The source of this isolate was ICMP"
NCPPB 4347,NCPPB4347,Xanthomonas campestris pv. malloti Goto 1993,Xanthomonas campestris pv. malloti,,pv. malloti,Mallotus japonicus (Thunb.) Muell.-Arg (East Asian mallotus),Japan,ICMP 11536; ATCC 51262,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4347,,,2006,No,Yes,"The donor reference is Ma 2 This isolate is also in the collections; ICMP 11536, ATCC 51262 This isolate was isolated by M. Goto The source of this isolate was ICMP","From the Ohya, shizuoka district. Causes dark brorn leaf spot","NCPPB No. 4347: Catalogue name: Xanthomonas campestris pv. malloti Goto 1993 Name as received: Xanthomonas campestris pv. malloti Country: Japan Host: Mallotus japonicus (Thunb.) Muell.-Arg (East Asian mallotus) Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Notes: From the Ohya, shizuoka district. Causes dark brorn leaf spot Other references: The donor reference is Ma 2 This isolate is also in the collections; ICMP 11536, ATCC 51262 This isolate was isolated by M. Goto The source of this isolate was ICMP"
NCPPB 4348,NCPPB4348,Xanthomonas euvesicatoria pv. mirabilis (ex Durgapal & Trivedi 1976) Harrison et al. 2023,Xanthomonas campestris pv. mirabilis,,pv. mirabilis,Mirabilis jalapa L. (Marvel-of-peru),India,ICMP 8949,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4348,,,2006,No,Yes,"This isolate is also in the collections; ICMP 8949, ITCC This isolate was isolated by Durgapal. J.C. The source of this isolate was ICMP",Causes leaf spot and blight.,"NCPPB No. 4348: Catalogue name: Xanthomonas euvesicatoria pv. mirabilis (ex Durgapal & Trivedi 1976) Harrison et al. 2023 Name as received: Xanthomonas campestris pv. mirabilis Country: India Host: Mirabilis jalapa L. (Marvel-of-peru) Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Notes: Causes leaf spot and blight. Other references: This isolate is also in the collections; ICMP 8949, ITCC This isolate was isolated by Durgapal. J.C. The source of this isolate was ICMP"
NCPPB 4349,NCPPB4349,Xanthomonas euvesicatoria pv. pennamericanum (Qhobela & Claflin 1988) Harrison et al. 2023,Xanthomonas campestris pv. pennamericanum,,pv. pennamericanum,Pennisetum americanum (L.) K. Schum. (pearl millet),Nigeria,ICMP 9627; ATCC 49152,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4349,,,2006,No,Yes,"The donor reference is B6 This isolate is also in the collections; ICMP 9627, ATCC 49152 This isolate was isolated by L.E.Claflin The source of this isolate was ICMP",,"NCPPB No. 4349: Catalogue name: Xanthomonas euvesicatoria pv. pennamericanum (Qhobela & Claflin 1988) Harrison et al. 2023 Name as received: Xanthomonas campestris pv. pennamericanum Country: Nigeria Host: Pennisetum americanum (L.) K. Schum. (pearl millet) Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Other references: The donor reference is B6 This isolate is also in the collections; ICMP 9627, ATCC 49152 This isolate was isolated by L.E.Claflin The source of this isolate was ICMP"
NCPPB 4350,NCPPB4350,Xanthomonas codiaei Vauterin et al. 1995,Xanthomonas campestris pv. poinsettiicola,,,Euphorbia pulcherrima,USA,LMG 8678; ICMP 9513; ATCC 700187,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4350,,,2006,Yes,Yes,"The donor reference is X259 (87-56A) This isolate is also in the collections; LMG 8678, ICMP 9513, ATCC 700187 This isolate was isolated by A.R. Chase The source of this isolate was ICMP",Affects leaf,"NCPPB No. 4350: Catalogue name: Xanthomonas codiaei Vauterin et al. 1995 Name as received: Xanthomonas campestris pv. poinsettiicola Country: USA Host: Euphorbia pulcherrima Year Added: 2006 Type strain of the species: Yes Pathotype strain: Yes Notes: Affects leaf Other references: The donor reference is X259 (87-56A) This isolate is also in the collections; LMG 8678, ICMP 9513, ATCC 700187 This isolate was isolated by A.R. Chase The source of this isolate was ICMP"
NCPPB 4351,NCPPB4351,Xanthomonas euvesicatoria pv. viegasii (Robbs et al. 1989) Harrison et al. 2023,Xanthomonas campestris pv. viegasii,,pv. viegasii,Pachystachys lutea Nees. (lollipop plant),Brazil,ICMP 9261,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4351,,,2006,No,Yes,"The donor reference is FC1 This isolate is also in the collections; ICMP 9261, IBSF 575 This isolate was isolated by J.R.Neto The source of this isolate was ICMP",Water soaked leaf spot surrounded by narrow yellow halo that enlarged & turned black,"NCPPB No. 4351: Catalogue name: Xanthomonas euvesicatoria pv. viegasii (Robbs et al. 1989) Harrison et al. 2023 Name as received: Xanthomonas campestris pv. viegasii Country: Brazil Host: Pachystachys lutea Nees. (lollipop plant) Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Notes: Water soaked leaf spot surrounded by narrow yellow halo that enlarged & turned black Other references: The donor reference is FC1 This isolate is also in the collections; ICMP 9261, IBSF 575 This isolate was isolated by J.R.Neto The source of this isolate was ICMP"
NCPPB 4352,NCPPB4352,Xanthomonas euvesicatoria pv. zingibericola (Ren & Fang 1981) Harrison et al. 2023,Xanthomonas campestris pv. zingibericola,,pv. zingibericola,Zingiber officinale Rosc. (ginger),China,ICMP 8787; LMG 9060,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4352,,,2006,No,Yes,"The donor reference is Zo2 This isolate is also in the collections; ICMP 8787, LMG 9060 This isolate was isolated by X.Z.Ren The source of this isolate was ICMP",Cultures resemble X.campestris. Part affected: leaf,"NCPPB No. 4352: Catalogue name: Xanthomonas euvesicatoria pv. zingibericola (Ren & Fang 1981) Harrison et al. 2023 Name as received: Xanthomonas campestris pv. zingibericola Country: China Host: Zingiber officinale Rosc. (ginger) Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Notes: Cultures resemble X.campestris. Part affected: leaf Other references: The donor reference is Zo2 This isolate is also in the collections; ICMP 8787, LMG 9060 This isolate was isolated by X.Z.Ren The source of this isolate was ICMP"
NCPPB 4353,NCPPB4353,Xanthomonas theicola (Uehara et al. 1980) Vauterin et al. 1995,Xanthomonas theicola,,,Camellia sinensis,Japan,ICMP 6774; LMG 8684,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4353,GenBank: EU499020 - gyrB EU499139 - rpoD <genbank:  EU499020 - gyrB  EU499139 - rpoD>,,2006,Yes,No,"The donor reference is TC1 This isolate is also in the collections; ICMP 6774, LMG 8684, NZRCC 10488 This isolate was isolated by K.Uehara The source of this isolate was ICMP",Part affected = Canker,"NCPPB No. 4353: Catalogue name: Xanthomonas theicola (Uehara et al. 1980) Vauterin et al. 1995 Name as received: Xanthomonas theicola Country: Japan Host: Camellia sinensis Year Added: 2006 Type strain of the species: Yes Pathotype strain: No Notes: Part affected = Canker Other references: The donor reference is TC1 This isolate is also in the collections; ICMP 6774, LMG 8684, NZRCC 10488 This isolate was isolated by K.Uehara The source of this isolate was ICMP Sequencing Link: GenBank: EU499020 - gyrB EU499139 - rpoD"
NCPPB 4355,NCPPB4355,Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.,Xanthomonas axonopodis pv. allii,,pv. allii,,Reunion - France,CFBP 6369,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4355,,,2006,No,Yes,The donor reference is CFBP 6369 This isolate is also in the collections; CFBP 6369 The source of this isolate was CFBP,Bacterial blight of onion,NCPPB No. 4355: Catalogue name: Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas axonopodis pv. allii Country: Reunion - France Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Notes: Bacterial blight of onion Other references: The donor reference is CFBP 6369 This isolate is also in the collections; CFBP 6369 The source of this isolate was CFBP
NCPPB 4356,NCPPB4356,Xanthomonas hortorum pv. cynarae Morinière et al. (2020),Xanthomonas cynarae,,pv. cynarae,Cynara scolymus (artichoke),France - Brittainy,CFBP 4188; ICMP 16775,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4356,GenBank: EU498846 - dnaK EU498946 - fyuA EU499061 - gyrB EU499181 - rpoD PRJDB10667 JF409702 - rpoB MT760328 - 16S ribosomal RNA <genbank:  EU498846 - dnaK  EU498946 - fyuA  EU499061 - gyrB  EU499181 - rpoD  PRJDB10667  JF409702 - rpoB  MT760328 - 16S ribosomal RNA>,,2006,No,Yes,"The donor reference is CFBP 4188 This isolate is also in the collections; CFBP 4188, ICMP 16775 The source of this isolate was CFBP","Causes water soaked spots on bracts then dark green spots on abaxial parts of capitulum bracts. Large brown necrotic spots result. Gram -Ve, non sporing straight rods, single polar flagellum. 2 days on YBGA at 28 celsius = 2mm colonies.","NCPPB No. 4356: Catalogue name: Xanthomonas hortorum pv. cynarae Morinière et al. (2020) Name as received: Xanthomonas cynarae Country: France - Brittainy Host: Cynara scolymus (artichoke) Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Notes: Causes water soaked spots on bracts then dark green spots on abaxial parts of capitulum bracts. Large brown necrotic spots result. Gram -Ve, non sporing straight rods, single polar flagellum. 2 days on YBGA at 28 celsius = 2mm colonies. Other references: The donor reference is CFBP 4188 This isolate is also in the collections; CFBP 4188, ICMP 16775 The source of this isolate was CFBP Sequencing Link: GenBank: EU498846 - dnaK EU498946 - fyuA EU499061 - gyrB EU499181 - rpoD PRJDB10667 JF409702 - rpoB MT760328 - 16S ribosomal RNA"
NCPPB 4363,NCPPB4363,Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010,Xanthomonas sp.,,pv. dysoxyli,Dysoxylum spectabile,New Zealand,ICMP 2415; CFBP 7260,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4363,,,2006,No,No,"The donor reference is ICMP 2415 This isolate is also in the collections; ICMP 2415, CFBP 7260 This isolate was isolated by J.YOUNG",,"NCPPB No. 4363: Catalogue name: Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010 Name as received: Xanthomonas sp. Country: New Zealand Host: Dysoxylum spectabile Year Added: 2006 Type strain of the species: No Pathotype strain: No Other references: The donor reference is ICMP 2415 This isolate is also in the collections; ICMP 2415, CFBP 7260 This isolate was isolated by J.YOUNG"
NCPPB 4364,NCPPB4364,Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010,Xanthomonas sp.,,pv. dysoxyli,Dysoxylum spectabile,New Zealand,ICMP 6465; CFBP 7262,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4364,,,2006,No,No,"The donor reference is ICMP 6465 This isolate is also in the collections; ICMP 6465, CFBP 7262 This isolate was isolated by J.YOUNG",,"NCPPB No. 4364: Catalogue name: Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010 Name as received: Xanthomonas sp. Country: New Zealand Host: Dysoxylum spectabile Year Added: 2006 Type strain of the species: No Pathotype strain: No Other references: The donor reference is ICMP 6465 This isolate is also in the collections; ICMP 6465, CFBP 7262 This isolate was isolated by J.YOUNG"
NCPPB 4367,NCPPB4367,Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010,Xanthomonas sp.,,pv. dysoxyli,Dysoxylum spectabile,New Zealand,ICMP 16473,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4367,,,2006,No,No,The donor reference is ICMP 16473 This isolate is also in the collections; ICMP 16473 This isolate was isolated by J.YOUNG,,NCPPB No. 4367: Catalogue name: Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010 Name as received: Xanthomonas sp. Country: New Zealand Host: Dysoxylum spectabile Year Added: 2006 Type strain of the species: No Pathotype strain: No Other references: The donor reference is ICMP 16473 This isolate is also in the collections; ICMP 16473 This isolate was isolated by J.YOUNG
NCPPB 4372,NCPPB4372,Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.,Xanthomonas axonopodis pv. allii,,pv. allii,Allium cepa,Brazil,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4372,,,2006,No,No,The donor reference is 618 This isolate is also in the collections; IBSBF 618 This isolate was isolated by J.Neto The source of this isolate was IBSBF,,NCPPB No. 4372: Catalogue name: Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas axonopodis pv. allii Country: Brazil Host: Allium cepa Year Added: 2006 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 618 This isolate is also in the collections; IBSBF 618 This isolate was isolated by J.Neto The source of this isolate was IBSBF
NCPPB 4373,NCPPB4373,Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.,Xanthomonas axonopodis pv. aurantifolii,,pv. aurantifolii,Citrus aurantifolia,Brazil,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4373,,,2006,No,No,The donor reference is 1472 This isolate is also in the collections; IBSBF 1472 This isolate was isolated by V.A.Malavolta The source of this isolate was IBSBF,,NCPPB No. 4373: Catalogue name: Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas axonopodis pv. aurantifolii Country: Brazil Host: Citrus aurantifolia Year Added: 2006 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 1472 This isolate is also in the collections; IBSBF 1472 This isolate was isolated by V.A.Malavolta The source of this isolate was IBSBF
NCPPB 4374,NCPPB4374,Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.,Xanthomonas axonopodis pv. aurantifolii,,pv. aurantifolii,Citrus aurantifolia,Brazil,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4374,,,2006,No,No,The donor reference is 1497 This isolate is also in the collections; IBSBF 1497 This isolate was isolated by J.Neto The source of this isolate was IBSBF,,NCPPB No. 4374: Catalogue name: Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas axonopodis pv. aurantifolii Country: Brazil Host: Citrus aurantifolia Year Added: 2006 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 1497 This isolate is also in the collections; IBSBF 1497 This isolate was isolated by J.Neto The source of this isolate was IBSBF
NCPPB 4375,NCPPB4375,Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.,Xanthomonas axonopodis pv. citri,,pv. citri,Citrus sinensis - common sweet orange,Brazil (Parana).,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4375,,,2006,No,No,"The donor reference is 1594 This isolate is also in the collections; IBSBF 1594, FDC 012 This isolate was isolated by R.P.Leite Jr. The source of this isolate was IBSBF",This is not the Type strain (Bull et al. 2010) - See NCPPB 4590,"NCPPB No. 4375: Catalogue name: Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov. Name as received: Xanthomonas axonopodis pv. citri Country: Brazil (Parana). Host: Citrus sinensis - common sweet orange Year Added: 2006 Type strain of the species: No Pathotype strain: No Notes: This is not the Type strain (Bull et al. 2010) - See NCPPB 4590 Other references: The donor reference is 1594 This isolate is also in the collections; IBSBF 1594, FDC 012 This isolate was isolated by R.P.Leite Jr. The source of this isolate was IBSBF"
NCPPB 4376,NCPPB4376,Xanthomonas euvesicatoria pv. citrumelonis (Schaad et al. 2007) Constantin et al. 2016 comb. nov.,Xanthomonas alfalfae subsp. citrumelonis,,pv. citrumelonis,Citrus paradisi x Poncirus trifoliata,USA,LMG 9325,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4376,,,2006,No,Yes,"The donor reference is 1925 This isolate is also in the collections; IBSBF 1925, LMG 9325 This isolate was isolated by D.W.Gabriel The source of this isolate was IBSBF",,"NCPPB No. 4376: Catalogue name: Xanthomonas euvesicatoria pv. citrumelonis (Schaad et al. 2007) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas alfalfae subsp. citrumelonis Country: USA Host: Citrus paradisi x Poncirus trifoliata Year Added: 2006 Type strain of the species: No Pathotype strain: Yes Other references: The donor reference is 1925 This isolate is also in the collections; IBSBF 1925, LMG 9325 This isolate was isolated by D.W.Gabriel The source of this isolate was IBSBF"
NCPPB 4377,NCPPB4377,Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.,Xanthomonas axonopodis pv. aurantifolii,,pv. aurantifolii,Citrus - lemon,Argentina,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4377,,,2006,No,No,"The donor reference is 1583 This isolate is also in the collections; IBSBF 1583, Xc 90-78-4-3 This isolate was isolated by B.I.Canteros The source of this isolate was IBSBF",,"NCPPB No. 4377: Catalogue name: Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas axonopodis pv. aurantifolii Country: Argentina Host: Citrus - lemon Year Added: 2006 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 1583 This isolate is also in the collections; IBSBF 1583, Xc 90-78-4-3 This isolate was isolated by B.I.Canteros The source of this isolate was IBSBF"
NCPPB 4378,NCPPB4378,Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978,Xanthomonas campestris pv. musacearum,,pv. musacearum,Musa,Uganda,CFBP 7166,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4378,,,2007,No,No,The donor reference is 034/LRA/05 This isolate is also in the collections; CFBP 7166 The source of this isolate was Valentine Aritua,,NCPPB No. 4378: Catalogue name: Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978 Name as received: Xanthomonas campestris pv. musacearum Country: Uganda Host: Musa Year Added: 2007 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 034/LRA/05 This isolate is also in the collections; CFBP 7166 The source of this isolate was Valentine Aritua
NCPPB 4379,NCPPB4379,Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978,Xanthomonas campestris pv. musacearum,,pv. musacearum,Musa,Uganda,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4379,,,2007,No,No,The donor reference is KY44 The source of this isolate was Valentine Aritua,,NCPPB No. 4379: Catalogue name: Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978 Name as received: Xanthomonas campestris pv. musacearum Country: Uganda Host: Musa Year Added: 2007 Type strain of the species: No Pathotype strain: No Other references: The donor reference is KY44 The source of this isolate was Valentine Aritua
NCPPB 4380,NCPPB4380,Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978,Xanthomonas campestris pv. musacearum,,pv. musacearum,Musa,Uganda,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4380,,,2007,No,No,The donor reference is 038/KBA/05 The source of this isolate was Valentine Aritua,,NCPPB No. 4380: Catalogue name: Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978 Name as received: Xanthomonas campestris pv. musacearum Country: Uganda Host: Musa Year Added: 2007 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 038/KBA/05 The source of this isolate was Valentine Aritua
NCPPB 4381,NCPPB4381,Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978,Xanthomonas campestris pv. musacearum,,pv. musacearum,Musa,Uganda,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4381,,,2007,No,No,The donor reference is 014/LUW/05 The source of this isolate was Valentine Aritua,,NCPPB No. 4381: Catalogue name: Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978 Name as received: Xanthomonas campestris pv. musacearum Country: Uganda Host: Musa Year Added: 2007 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 014/LUW/05 The source of this isolate was Valentine Aritua
NCPPB 4383,NCPPB4383,Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978,Xanthomonas campestris pv. musacearum,,pv. musacearum,Musa,Uganda,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4383,,,2007,No,No,The donor reference is 071/WSK/05 The source of this isolate was Valentine Aritua,,NCPPB No. 4383: Catalogue name: Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978 Name as received: Xanthomonas campestris pv. musacearum Country: Uganda Host: Musa Year Added: 2007 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 071/WSK/05 The source of this isolate was Valentine Aritua
NCPPB 4384,NCPPB4384,Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978,Xanthomonas campestris pv. musacearum,,pv. musacearum,Musa,Uganda,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4384,,,2007,No,No,The donor reference is 041/NSG/05 The source of this isolate was Valentine Aritua,,NCPPB No. 4384: Catalogue name: Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978 Name as received: Xanthomonas campestris pv. musacearum Country: Uganda Host: Musa Year Added: 2007 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 041/NSG/05 The source of this isolate was Valentine Aritua
NCPPB 4385,NCPPB4385,Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978,Xanthomonas campestris pv. musacearum,,pv. musacearum,Musa,Uganda,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4385,,,2007,No,No,The donor reference is 031/KIB/05 The source of this isolate was Valentine Aritua,,NCPPB No. 4385: Catalogue name: Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978 Name as received: Xanthomonas campestris pv. musacearum Country: Uganda Host: Musa Year Added: 2007 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 031/KIB/05 The source of this isolate was Valentine Aritua
NCPPB 4386,NCPPB4386,Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978,Xanthomonas campestris pv. musacearum,,pv. musacearum,Musa,Uganda,CFBP 7167,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=4386,,,2007,No,No,The donor reference is 005/WKS/05 This isolate is also in the collections; CFBP 7167 The source of this isolate was Valentine Aritua,,NCPPB No. 4386: Catalogue name: Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978 Name as received: Xanthomonas campestris pv. musacearum Country: Uganda Host: Musa Year Added: 2007 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 005/WKS/05 This isolate is also in the collections; CFBP 7167 The source of this isolate was Valentine Aritua
