ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 2978	Xanthomonas campestris pv. zantedeschiae (Joubert & Truter 1972) Dye 1978			South Africa	Zantedeschia aethiopica	1977	No	Yes	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola.		https://ncppb.fera.co.uk/furtherinfo/2978	11
NCPPB 2982	Xanthomonas cissicola (Takimoto 1939) Rudra and Gupta 2021	Pseudomonas cissicola (Takimoto 1939) Burkholder 1948	Pseudomonas cissicola (Takimoto 1939) Burkholder 1948	Japan	Cissus japonica	1977	No	No	Fatty acids indicate Xanthomonas sp. Placed into X.citri subsp. citri clade. Re: Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Int.J.of Syst. and evol. Microbiology (2009),59,264-274.	Young, J.M., Dye, D.W., Bradbury, J.F., Panagopoulos, C.G., Robbs, C.F. 1977. N.Z. Jl. Agric. Res.; Saati-Santamaria et al. 2021 https://doi.org/10.3390/biology10080782	https://ncppb.fera.co.uk/furtherinfo/2982	11
NCPPB 2983	Xanthomonas campestris pv. phormiicola (Takimoto 1933) Dye 1978	Xanthomonas campestris pv. phormicola (Takimoto 1933) Dye 1978		Japan	Phormium tenax	1977	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2983	11
NCPPB 2985	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas campestris pv. pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	New Zealand	Pelargonium peltatum	1977	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2985	11
NCPPB 2986	Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978	Xanthomonas campestris var. aberrans Knosel 1961		Australia	Brassica oleracea var. capitata	1977	No	Yes	Xcc Race 5 (Vicente et al. 2001)		https://ncppb.fera.co.uk/furtherinfo/2986	11
NCPPB 2987	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Aplanobacter populi	Xanthomonas campestris pv. populi (Ride 1958) Ride & Ride 1978	UK	Populus koreana trichocarpa	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2987	11
NCPPB 2997	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	USA	Cyamopsis tetragonolobus	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2997	11
NCPPB 2998	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	USA	Cyamopsis tetragonolobus	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2998	11
NCPPB 3002	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas campestris pv. oryzae(Ishiyama 1922) Dye 1978	Xanthomonas campestris pv. oryzae (Ishiyama 1922) Dye 1978	India	Oryza sativa	1977	Yes	Yes			https://ncppb.fera.co.uk/furtherinfo/3002	11
NCPPB 3003	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	New Zealand	Begonia sp.	1977	No	Yes			https://ncppb.fera.co.uk/furtherinfo/3003	11
NCPPB 3005	Xanthomonas marantae Zagatto & Pereira 1963			Brazil	Maranta arundinacea	1977	No	No	Illegitimate name. Partial gene (gyrB) sequence indicates this is Xanthomonas sp. (NCPPB Aug 2017)		https://ncppb.fera.co.uk/furtherinfo/3005	11
NCPPB 3020	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas campestris pv. graminis (Egli et al. 1975) Dye 1978	Xanthomonas campestris pv. graminis (Egli et al. 1975) Dye 1978; Xanthomonas translucens pv. graminis (Egli et al. 1975) Vauterin et al. 1995	UK	Lolium multiflorum	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3020	11
NCPPB 3022	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas campestris pv. oryzae(Ishiyama 1922) Dye 1978	Xanthomonas campestris pv. oryzae (Ishiyama 1922) Dye 1978	Colombia	Oryza sativa	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3022	11
NCPPB 3024	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978			USA	Zinnia sp.	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3024	11
NCPPB 3026	Xylophilus ampelinus (Panagopoulos 1969) Willems et al. 1987		Xanthomonas ampelina Panagopoulos 1969	Italy	Vitis vinifera	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3026	11
NCPPB 3027	Xylophilus ampelinus (Panagopoulos 1969) Willems et al. 1987		Xanthomonas ampelina Panagopoulos 1969	Italy	Vitis vinifera	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3027	11
NCPPB 3028	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962		Brazil	Fragaria sp.	1978	No	No	WGS (NCPPB March 2024) indicates this X. fragariae strain is in the same phylogenetic group as NCPPB, 4055, NCPPB 3743, NCPPB 2949, NCPPB 2473, and NCPPB 1822.		https://ncppb.fera.co.uk/furtherinfo/3028	11
NCPPB 3035	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	USA	Phaseolus vulgaris	1978	No	Yes			https://ncppb.fera.co.uk/furtherinfo/3035	11
NCPPB 3040	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas campestris pv. graminis (Egli et al. 1975) Dye 1978	Xanthomonas campestris pv. graminis (Egli et al. 1975) Dye 1978; Xanthomonas translucens pv. graminis (Egli et al. 1975) Vauterin et al. 1995	UK	Lolium muliflorum cv. Italco	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3040	11
NCPPB 3041	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas campestris pv. graminis (Egli et al. 1975) Dye 1978	Xanthomonas campestris pv. graminis (Egli et al. 1975) Dye 1978; Xanthomonas translucens pv. graminis (Egli et al. 1975) Vauterin et al. 1995	UK	Festuca sp.	1978	No	No			https://ncppb.fera.co.uk/furtherinfo/3041	11
