ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 581	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	SAMN42178463		assembly	SAMN42178463	GCF_041486685.1	whole_genome_assembly	Complete Genome	PRJNA1129913	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041486685.1 --include genome --filename NCPPB_581_GCF_041486685.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 582	Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 584	Xanthomonas axonopodis pv. tamarindi (Patel et al. 1951) Vauterin et al. 1995	SAMN42278574		assembly	SAMN42278574	GCF_041466645.1	whole_genome_assembly	Complete Genome	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041466645.1 --include genome --filename NCPPB_584_GCF_041466645.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 585	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023	SAMN19988994		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 586	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023	SAMN19988992		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 599	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	SAMN12660098; SAMN05560286; SAMN02894432; SAMN43282147; SAMD00253046		assembly	SAMN12660098	GCF_009769165.1	whole_genome_assembly	Complete Genome	PRJNA562936	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_009769165.1 --include genome --filename NCPPB_599_GCF_009769165.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 614	Xanthomonas citri pv. malvacearum (Smith 1901) Schaad et al. 2007			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 631	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 633	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	SAMN40354537; SAMN40354530; SAMN08729580; SAMN07418358; SAMN22082069		assembly	SAMN40354537	GCF_040202935.2	whole_genome_assembly	Complete Genome	PRJNA991976	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_040202935.2 --include genome --filename NCPPB_633_GCF_040202935.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 634	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 637	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	SAMN42180202		assembly	SAMN42180202	GCF_041463595.1	whole_genome_assembly	Complete Genome	PRJNA1130018	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041463595.1 --include genome --filename NCPPB_637_GCF_041463595.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 638	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 642	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 645	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	SAMN42178452		assembly	SAMN42178452	GCF_041519365.1	whole_genome_assembly	Complete Genome	PRJNA1129911	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041519365.1 --include genome --filename NCPPB_645_GCF_041519365.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 646	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	SAMN42284537	SAMN03175008	assembly	SAMN42284537	GCF_053615295.1	whole_genome_assembly	Complete Genome	PRJNA1131458	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053615295.1 --include genome --filename NCPPB_646_GCF_053615295.1.zip	yes	no	yes		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 647	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 648	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 670	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03097370		assembly	SAMN03097370	GCF_000764875.1	whole_genome_assembly	Contig	PRJNA263153	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000764875.1 --include genome --filename NCPPB_670_GCF_000764875.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 701	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	SAMN03175440		assembly	SAMN03175440	GCF_001469465.1	whole_genome_assembly	Contig	PRJNA266920	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001469465.1 --include genome --filename NCPPB_701_GCF_001469465.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 702	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357969; SAMN00002876		assembly	SAMN00002876	GCF_000159795.2	whole_genome_assembly	Scaffold	PRJNA31213	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000159795.2 --include genome --filename NCPPB_702_GCF_000159795.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 761	Xanthomonas euvesicatoria pv. physalidicola (Goto & Okabe 1958) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 762	Xanthomonas pisi (ex Goto & Okabe 1958) Vauterin et al. 1995	SAMD00537713; SAMN02894433; SAMD00253068		assembly	SAMN02894433	GCF_001010415.1	whole_genome_assembly	Contig	PRJNA232379	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001010415.1 --include genome --filename NCPPB_762_GCF_001010415.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 793	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 795	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN20034691; SAMN36357970		assembly	SAMN20034691	GCF_019209805.1	whole_genome_assembly	Contig	PRJNA743420	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019209805.1 --include genome --filename NCPPB_795_GCF_019209805.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 840	Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995	SAMN42280122		assembly	SAMN42280122	GCF_041464165.1	whole_genome_assembly	Complete Genome	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041464165.1 --include genome --filename NCPPB_840_GCF_041464165.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 875	Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN56511390; SAMN09704275; SAMN33574910; SAMN02471772		assembly	SAMN33574910	GCF_046589575.1	whole_genome_assembly	Contig	PRJNA940592	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_046589575.1 --include genome --filename NCPPB_881_GCF_046589575.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 884	Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	SAMN42278569		assembly	SAMN42278569	GCF_041464115.1	whole_genome_assembly	Complete Genome	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041464115.1 --include genome --filename NCPPB_885_GCF_041464115.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 887	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 888	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN20080225; SAMN36357971		assembly	SAMN20080225	GCF_019200945.1	whole_genome_assembly	Contig	PRJNA743420	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019200945.1 --include genome --filename NCPPB_889_GCF_019200945.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 891	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 892	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 893	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357973; SAMN02439007		assembly	SAMN02439007	GCF_000278075.1	whole_genome_assembly	Scaffold	PRJNA163307	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000278075.1 --include genome --filename NCPPB_895_GCF_000278075.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 896	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 897	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 899	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN56511391; SAMN02854335		assembly	SAMN02854335	GCF_000724905.1	whole_genome_assembly	Scaffold	PRJNA252656	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000724905.1 --include genome --filename NCPPB_900_GCF_000724905.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 901	Xanthomonas sp. Dowson 1939	SAMN42161496		assembly	SAMN42161496	GCF_056725085.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_056725085.1 --include genome --filename NCPPB_901_GCF_056725085.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 902	Xanthomonas vasicola Vauterin et al. 1995	SAMN03140174		assembly	SAMN03140174	GCF_000772775.3	whole_genome_assembly	Complete Genome	PRJNA264637	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000772775.3 --include genome --filename NCPPB_902_GCF_000772775.3.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 916	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 917	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 918	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 922	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 923	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 924	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 926	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 935	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	SAMN41996496; SAMEA7984667; SAMN05559866		assembly	SAMN41996496	GCF_041228085.2	whole_genome_assembly	Complete Genome	PRJNA1127218	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041228085.2 --include genome --filename NCPPB_935_GCF_041228085.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 936	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 937	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	SAMN22552838		assembly	SAMN22552838	GCF_020813295.1	whole_genome_assembly	Contig	PRJNA774128	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020813295.1 --include genome --filename NCPPB_937_GCF_020813295.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
