ncppb_number,term_type,search_term
NCPPB 407,alternative_name_plus_number,"""Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979"" ""NCPPB 407"""
NCPPB 408,ncppb_number,NCPPB 408
NCPPB 408,ncppb_number_compact,NCPPB408
NCPPB 408,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 408"
NCPPB 408,current_name_plus_number,"""Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov."" ""NCPPB 408"""
NCPPB 408,received_name_plus_number,"""Xanthomonas citri (Hasse 1915) Dowson"" ""NCPPB 408"""
NCPPB 408,alternative_name_plus_number,"""Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979"" ""NCPPB 408"""
NCPPB 409,ncppb_number,NCPPB 409
NCPPB 409,ncppb_number_compact,NCPPB409
NCPPB 409,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 409"
NCPPB 409,current_name_plus_number,"""Xanthomonas citri (Hasse 1915) Gabriel et al. 1989"" ""NCPPB 409"""
NCPPB 409,received_name_plus_number,"""Xanthomonas citri (Hasse 1915) Dowson"" ""NCPPB 409"""
NCPPB 409,alternative_name_plus_number,"""Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979"" ""NCPPB 409"""
NCPPB 409,other_collection_number,ICMP 24
NCPPB 409,other_collection_number,LMG 682
NCPPB 409,other_collection_number,CFBP 2525
NCPPB 410,ncppb_number,NCPPB 410
NCPPB 410,ncppb_number_compact,NCPPB410
NCPPB 410,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 410"
NCPPB 410,current_name_plus_number,"""Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov."" ""NCPPB 410"""
NCPPB 410,received_name_plus_number,"""Xanthomonas citri (Hasse 1915) Dowson"" ""NCPPB 410"""
NCPPB 410,alternative_name_plus_number,"""Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979"" ""NCPPB 410"""
NCPPB 411,ncppb_number,NCPPB 411
NCPPB 411,ncppb_number_compact,NCPPB411
NCPPB 411,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 411"
NCPPB 411,current_name_plus_number,"""Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995"" ""NCPPB 411"""
NCPPB 411,received_name_plus_number,"""Xanthomonas juglandis"" ""NCPPB 411"""
NCPPB 411,alternative_name_plus_number,"""Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978"" ""NCPPB 411"""
NCPPB 411,other_collection_number,ICMP 35
NCPPB 411,other_collection_number,CFBP 2528
NCPPB 411,other_collection_number,LMG 747
NCPPB 411,other_collection_number,ATCC 49083
NCPPB 412,ncppb_number,NCPPB 412
NCPPB 412,ncppb_number_compact,NCPPB412
